naam,naam_lang,code,type,land,uic_code,eva_code,lat,lng
London StP,London St. Pancras Int.,STP,MEGA_STATION,GB,7015400,7004428,51.531437,-0.126136
Günzburg,Günzburg,MGZB,SNELTREIN_STATION,D,8002084,8000139,48.460226,10.278707
Augsburg,Augsburg Hbf,MA,SNELTREIN_STATION,D,8002140,8000013,48.3654307143927,10.88547706604
Berlin Ost,Berlin Ostbahnhof,BHF,KNOOPPUNT_INTERCITY_STATION,D,8003004,8010255,52.5104989,13.4346995
Berlin-Spa,Berlin-Spandau,BSPD,INTERCITY_STATION,D,8003025,8010404,52.5343152,13.1989467
Berlin Gsb,Berlin Gesundbrunnen,GSB,INTERCITY_STATION,D,8007799,8011102,52.5486327,13.3904267
Schwerte,Schwerte (Ruhr),ESRT,STOPTREIN_STATION,D,8008016,8000037,51.442281,7.55896
Hagen,Hagen Hbf,HAGEN,KNOOPPUNT_SNELTREIN_STATION,D,8008073,8000142,51.362747,7.460249
Wupp-Vohw,Wuppertal-Vohwinkel,WUPPV,STOPTREIN_STATION,D,8008082,8006718,51.23351,7.07237
Düsseldrf,Düsseldorf Hbf,DUSSEL,MEGA_STATION,D,8008094,8000085,51.220146,6.793137
Ennepetal,Ennepetal,EENP,STOPTREIN_STATION,D,8008134,8001795,51.304892,7.343285
Schwelm,Schwelm,KSWE,STOPTREIN_STATION,D,8008136,8000033,51.290526,7.289681
Wup'tal O,Wuppertal Oberbarmen,KWO,STOPTREIN_STATION,D,8008138,8006719,51.273839,7.221483
Wuppertal,Wuppertal Hbf,WUPPH,STOPTREIN_STATION,D,8008140,8000266,51.25433,7.14939
Wup'tal-B,Wuppertal-Barmen,KWBA,STOPTREIN_STATION,D,8008142,8006596,51.267082,7.195929
Hamm,Hamm (Westf.),HAMM,KNOOPPUNT_STOPTREIN_STATION,D,8010002,8000149,51.678078,7.807821
Dortmund,Dortmund Hbf,EDO,KNOOPPUNT_INTERCITY_STATION,D,8010053,8000080,51.517896,7.45929
Lünen Hbf,Lünen Hbf,ELUE,STOPTREIN_STATION,D,8010098,8000239,51.61713,7.52949
Preussen,Preussen,EPRN,STOPTREIN_STATION,D,8010100,8004883,51.58833,7.53933
Dortmund D,Dortmund Derne,EDD,STOPTREIN_STATION,D,8010101,8001530,51.56754,7.52855
Dortmund K,Dortmund Kirchderne,EDKD,STOPTREIN_STATION,D,8010102,8001533,51.547076,7.510099
Oberhausen,Oberhausen Hbf,OBERH,KNOOPPUNT_STOPTREIN_STATION,D,8010263,8000286,51.47512,6.852038
Ob-Sterkr,Oberhausen-Sterkrade,OBERHS,STOPTREIN_STATION,D,8010266,8004542,51.512222,6.843611
Wesel,Wesel,WESEL,STOPTREIN_STATION,D,8010275,8000242,51.655833,6.627222
Emmerich,Emmerich,EM,KNOOPPUNT_STOPTREIN_STATION,D,8010288,8001773,51.834283,6.255718
Duisburg,Duisburg Hbf,DUISB,KNOOPPUNT_INTERCITY_STATION,D,8010316,8000086,51.4297785713316,6.77590370178222
Unna,Unna,EUN,STOPTREIN_STATION,D,8010382,8000171,51.5385828,7.6953056
H'wickede,Holzwickede,EHZW,STOPTREIN_STATION,D,8010384,8000392,51.504767,7.619647
Bönen,Bönen,EBEO,STOPTREIN_STATION,D,8010385,8001061,51.598015,7.757296
