naam,naam_lang,code,type,land,uic_code,eva_code,lat,lng
Alkmaar,Alkmaar,AMR,KNOOPPUNT_INTERCITY_STATION,NL,8400050,8400050,52.6377792358398,4.73972225189209
Almelo,Almelo,AML,KNOOPPUNT_INTERCITY_STATION,NL,8400051,8400051,52.3580551147461,6.65388870239258
Alphen,Alphen a/d Rijn,APN,KNOOPPUNT_INTERCITY_STATION,NL,8400053,8400053,52.1244430541992,4.65777778625488
Amersfoort,Amersfoort,AMF,KNOOPPUNT_INTERCITY_STATION,NL,8400055,8400055,52.1538887023926,5.37055540084839
Amstel,Amsterdam Amstel,ASA,INTERCITY_STATION,NL,8400057,8400057,52.3466682434082,4.91777801513672
Amsterdam,Amsterdam Centraal,ASD,MEGA_STATION,NL,8400058,8400058,52.3788871765137,4.90027761459351
Sloterdijk,Amsterdam Sloterdijk,ASS,KNOOPPUNT_INTERCITY_STATION,NL,8400059,8400059,52.3888893127441,4.83777761459351
Amsterdm Z,Amsterdam Zuid,ASDZ,INTERCITY_STATION,NL,8400061,8400061,52.338889,4.872356
Apeldoorn,Apeldoorn,APD,KNOOPPUNT_INTERCITY_STATION,NL,8400066,8400066,52.2091674804687,5.97027778625488
Arnhem C,Arnhem Centraal,AH,KNOOPPUNT_INTERCITY_STATION,NL,8400071,8400071,51.9850006103516,5.89916658401489
Assen,Assen,ASN,KNOOPPUNT_INTERCITY_STATION,NL,8400073,8400073,52.9916648864746,6.57083320617676
Bijlmer A,Amsterdam Bijlmer ArenA,ASB,KNOOPPUNT_STOPTREIN_STATION,NL,8400074,8400074,52.3122215270996,4.94694423675537
Almere C,Almere Centrum,ALM,KNOOPPUNT_INTERCITY_STATION,NL,8400080,8400080,52.37503,5.21764
Baarn,Baarn,BRN,KNOOPPUNT_STOPTREIN_STATION,NL,8400086,8400086,52.2083320617676,5.28083324432373
Beverwijk,Beverwijk,BV,INTERCITY_STATION,NL,8400113,8400113,52.4783325195313,4.65666675567627
Boxmeer,Boxmeer,BMR,KNOOPPUNT_STOPTREIN_STATION,NL,8400128,8400128,51.6445217676531,5.93903303146362
Boxtel,Boxtel,BTL,KNOOPPUNT_STOPTREIN_STATION,NL,8400129,8400129,51.58433,5.31912
Breda,Breda,BD,KNOOPPUNT_INTERCITY_STATION,NL,8400131,8400131,51.5955543518066,4.78000020980835
Breukelen,Breukelen,BKL,KNOOPPUNT_STOPTREIN_STATION,NL,8400133,8400133,52.17149,4.9906
Buitenpost,Buitenpost,BP,KNOOPPUNT_SNELTREIN_STATION,NL,8400139,8400139,53.2564547,6.1446496
Castricum,Castricum,CAS,INTERCITY_STATION,NL,8400151,8400151,52.5458335876465,4.65861129760742
Coevorden,Coevorden,CO,KNOOPPUNT_SNELTREIN_STATION,NL,8400153,8400153,52.6636123657227,6.73555564880371
Dalfsen,Dalfsen,DL,SNELTREIN_STATION,NL,8400167,8400167,52.4983329772949,6.25861120223999
Delft,Delft,DT,KNOOPPUNT_INTERCITY_STATION,NL,8400170,8400170,52.0066680908203,4.35638904571533
Deventer,Deventer,DV,KNOOPPUNT_INTERCITY_STATION,NL,8400173,8400173,52.2574996948242,6.16055536270142
Dieren,Dieren,DR,INTERCITY_STATION,NL,8400176,8400176,52.0449981689453,6.10305547714233
Doetinchem,Doetinchem,DTC,KNOOPPUNT_STOPTREIN_STATION,NL,8400177,8400177,51.9585962,6.2962148
Den Dolder,Den Dolder,DLD,KNOOPPUNT_STOPTREIN_STATION,NL,8400179,8400179,52.1402778625488,5.24277782440186
Dordrecht,Dordrecht,DDR,KNOOPPUNT_INTERCITY_STATION,NL,8400180,8400180,51.8072204589844,4.66833353042603
