from_eva,to_eva,traveltime,naam_from,naam_to
8400050,8400051,147,Alkmaar,Almelo
8400053,8400051,135,Alphen a/d Rijn,Almelo
8400055,8400051,62,Amersfoort,Almelo
8400057,8400051,101,Amsterdam Amstel,Almelo
8400058,8400051,109,Amsterdam Centraal,Almelo
8400059,8400051,114,Amsterdam Sloterdijk,Almelo
8400061,8400051,99,Amsterdam Zuid,Almelo
8400066,8400051,37,Apeldoorn,Almelo
8400071,8400051,73,Arnhem Centraal,Almelo
8400073,8400051,85,Assen,Almelo
8400074,8400051,105,Amsterdam Bijlmer ArenA,Almelo
8400080,8400051,87,Almere Centrum,Almelo
8400086,8400051,92,Baarn,Almelo
8400093,8400051,54,Emmen Zuid,Almelo
8400095,8400051,139,Veendam,Almelo
8400113,8400051,139,Beverwijk,Almelo
8400128,8400051,129,Boxmeer,Almelo
8400129,8400051,152,Boxtel,Almelo
8400131,8400051,154,Breda,Almelo
8400133,8400051,103,Breukelen,Almelo
8400139,8400051,130,Buitenpost,Almelo
8400151,8400051,138,Castricum,Almelo
8400153,8400051,42,Coevorden,Almelo
8400167,8400051,43,Dalfsen,Almelo
8400170,8400051,135,Delft,Almelo
8400173,8400051,24,Deventer,Almelo
8400176,8400051,61,Dieren,Almelo
8400177,8400051,122,Doetinchem,Almelo
8400179,8400051,83,Den Dolder,Almelo
8400180,8400051,150,Dordrecht,Almelo
8400182,8400051,96,Driebergen-Zeist,Almelo
8400194,8400051,94,Duivendrecht,Almelo
8400200,8400051,93,Ede-Wageningen,Almelo
8400206,8400051,137,Eindhoven,Almelo
8400207,8400051,90,Elst,Almelo
8400208,8400051,58,Emmen,Almelo
8400212,8400051,18,Enschede,Almelo
8400218,8400051,168,Etten-Leur,Almelo
8400244,8400051,121,Geldermalsen,Almelo
8400245,8400051,166,Geldrop,Almelo
8400256,8400051,165,Gorinchem,Almelo
8400258,8400051,100,Gouda,Almelo
8400263,8400051,102,Groningen,Almelo
8400280,8400051,126,Den Haag HS,Almelo
8400282,8400051,119,Den Haag Centraal,Almelo
8400285,8400051,123,Haarlem,Almelo
8400293,8400051,27,Hardenberg,Almelo
8400294,8400051,82,Harderwijk,Almelo
8400302,8400051,129,Heemstede-Aerdenhout,Almelo
8400305,8400051,88,Heerenveen,Almelo
8400306,8400051,158,Heerhugowaard,Almelo
8400307,8400051,212,Heerlen,Almelo
8400311,8400051,188,Den Helder,Almelo
8400313,8400051,160,Helmond,Almelo
8400316,8400051,10,Hengelo,Almelo
8400319,8400051,116,'s-Hertogenbosch,Almelo
8400322,8400051,77,Hilversum,Almelo
8400331,8400051,125,Hoogezand-Sappemeer,Almelo
8400337,8400051,141,Hoorn,Almelo
8400340,8400051,95,Houten,Almelo
8400355,8400051,226,Kerkrade Centrum,Almelo
8400364,8400051,134,Zaandijk Zaanse Schans,Almelo
8400380,8400051,135,Den Haag Laan v NOI,Almelo
8400382,8400051,178,Lage Zwaluwe,Almelo
8400387,8400051,104,Leeuwarden,Almelo
8400390,8400051,127,Leiden Centraal,Almelo
8400394,8400051,73,Lelystad Centrum,Almelo
8400417,8400051,102,Maarn,Almelo
8400424,8400051,203,Maastricht,Almelo
8400426,8400051,224,Maastricht Randwyck,Almelo
8400428,8400051,18,Mariënberg,Almelo
8400434,8400051,218,Meerssen,Almelo
8400435,8400051,53,Meppel,Almelo
8400452,8400051,91,Naarden-Bussum,Almelo
8400454,8400051,50,Nieuw Amsterdam,Almelo
8400457,8400051,162,Bad Nieuweschans,Almelo
8400470,8400051,90,Nijmegen,Almelo
8400487,8400051,35,Ommen,Almelo
8400495,8400051,108,Oss,Almelo
8400507,8400051,116,Rotterdam Alexander,Almelo
8400508,8400051,150,Purmerend,Almelo
8400517,8400051,122,Rhenen,Almelo
8400523,8400051,172,Roermond,Almelo
8400526,8400051,172,Roosendaal,Almelo
8400530,8400051,124,Rotterdam Centraal,Almelo
8400548,8400051,217,Landgraaf,Almelo
